name,name_id,edu_type,university,university_id,qualification,award_date
Jim Dora Sr,766878,Education,Purdue University,61638,Graduated,
Roland Dorson,766879,Education,Indiana University Bloomington,1337103,Graduated,1978-01-01
Roland Dorson,766879,Education,University of Ntre Dame,62544,Graduated,
Elliot Rothstein,766880,Education,Western New England University (Formerly known as Western New England College),1822031,JD (summa Cum Laude),1996-01-01
Elliot Rothstein,766880,Education,McGill University (Canada),61248,BA,1990-01-01
Dan Elsener,766881,Education,University of Nebraska,62511,MS,
Dan Elsener,766881,Education,Nebraska Wesleyan University,748582,Bachelor's Degree,
Dan Evans Jr,766882,Education,Wabash College,62874,Graduated,
Dan Evans Jr,766882,Education,Indiana University,60920,BA,1971-01-01
Dan Evans Jr,766882,Education,Indiana University Robert H McKinney School of Law,1889558,JD,1976-01-01
Doctor Bobby Fong,766883,Education,University of California Los Angeles (UCLA),62218,PhD,1978-01-01
Doctor Bobby Fong,766883,Education,Harvard University,63830,AB (magna cum laude),1973-01-01
Doctor Tracy Deisher,766884,Education,Stanford University,61935,Graduated (Hons),
Doctor Tracy Deisher,766884,Education,Stanford University,61935,PhD,
David Gadis,766886,Education,Southern Methodist University,61882,BA,
Charlie Garcia,766887,Education,Dartmouth College,60488,Executive Program,
Charlie Garcia,766887,Education,Butler University,79061,Attended,2006-01-01
Charlie Garcia,766887,Professional Qualifications,College of San Mateo,1222293,Associate Degree,1972-01-01
Charlie Garcia,766887,Education,Way College of Biblical Research,1615808,Bachelor's Degree,1985-01-01
Charlie Garcia,766887,Education,University of California Los Angeles (UCLA),62218,Executive Training Program,
Leo Gomez,766888,Education,FBI Citizens' Academy,663104,Graduated,
Leo Gomez,766888,Education,University of Texas-Pan American (Ceased Trading 08/2015),139482,Bachelor's Degree,1989-01-01
Leo Gomez,766888,Education,Lyndon B Johnson School of Public Affairs,256147,Masters Degree,1989-01-01
Jim Greenwood,766889,Education,University of Texas at Austin,62742,Degree,1983-01-01
Ken Halliday,766892,Education,University of Texas at Austin,62742,BBA,
Ken Halliday,766892,Education,University of Texas at Austin,62742,JD,
